GATE_SI_CC: 2221.604,221.0279,1835.855,335.0758,1,0
GATE_SI_LF: -574.3969,-801.9722,-422.1457,-835.924,0,0
SI_A02: 237.6801,-291.7142,316.0286,-348.7434,0,1
SI_A06: 550.6804,729.2856,478.0286,890.2567,1,2
SI_A07: 551.6804,853.2856,479.0286,1056.257,1,2
SI_A17: -1021.318,17.28557,-712.9719,40.25658,2,1
SI_A18: -717.3196,14.28557,-465.9716,37.25658,2,1
SI_A20: 1272.359,186.5761,1075.158,180.7728,2,1
SI_A21: 1412.359,186.5761,1213.158,184.7728,2,1
SI_A23: 52.68057,-292.7142,160.0284,-360.7434,0,1
SI_A27: 535.6804,80.28569,562.0281,-2.743389,2,1
SI_A28: -818.3088,-353.0603,-594.1456,-271.9243,2,1
SI_B01: 1349.682,192.2858,1084.029,325.2566,1,1
SI_B02: 541.6804,357.2858,481.0286,478.2564,1,2
SI_B03: -1237.318,-241.7142,-951.9719,-410.7434,0,1
SI_B04: 548.6804,546.2856,479.0286,636.2567,1,2
SI_B09: 562.6807,-200.7142,478.0286,-316.7434,1,1
SI_B10: 480.6805,-65.71447,429.0286,-84.74333,2,1
SI_B11: -883.3193,-138.7142,-719.9719,-232.7433,0,1
SI_B12: -1239.318,-0.7144012,-959.9719,-141.7436,0,1
SI_B13: -632.7791,-628.606,-538.0496,-703.1473,0,1
SI_C01: -326.3199,12.28566,-341.9714,172.2565,1,1
SI_C02: -856.3193,20.28557,-702.9719,168.2565,1,1
SI_C03: 936.6807,193.2858,713.0281,316.2566,1,1
SI_C04: 159.6802,11.28566,45.02844,172.2565,1,1
SI_C05: -868.3193,-112.7142,-594.9719,-154.7433,2,1
SI_C06: 629.6807,-45.71435,705.0281,-177.7433,2,1
SI_C07: -868.3193,263.2858,-595.9719,295.2566,1,1
SI_C08: -291.3194,-303.7142,-278.9714,-367.7434,0,1
SI_C09: -1240.092,-568.5842,-974.3309,-725.424,0,1
SI_CAS: 567.45,972.075,489.45,1283.1,1,0
SI_D01: 537.6804,125.2857,414.0286,197.2567,1,1
SI_D03: 1831.682,206.2858,1409.029,321.2564,1,1
SI_D05: -641.3198,-139.7142,-462.9714,-195.7435,0,1
SI_D06: -848.3193,-299.7142,-813.9719,-371.7434,0,1
SI_D07: -927.3908,-628.9534,-802.1514,-704.4073,0,1
SI_S03: -658.0079,-892.1666,-530.1459,-902.5353,0,0
SI_S04: -719.9284,-88.95599,-467.2247,-94.77213,2,0
SI_S05: 426.0707,77.04398,283.7755,-6.772147,2,0
OffScreenDen_SI: -37.31945,830.2856,-1198.971,321.2564,1,1
Connection: GATE_SI_CC,SI_D03,2,9,192,17,2,0
Connection: GATE_SI_LF,SI_B13,11,19,48,46,1,3
Connection: GATE_SI_LF,SI_S03,11,5,32,23,3,0
Connection: SI_A02,SI_B09,45,13,16,10,3,3
Connection: SI_A02,SI_A23,6,13,28,6,3,3
Connection: SI_A06,SI_A07,21,33,23,7,1,3
Connection: SI_A06,SI_B04,23,8,24,72,3,3
Connection: SI_A07,SI_CAS,32,6,27,14,3,3
Connection: SI_A17,SI_C02,43,10,53,9,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_A18,SI_C02,4,10,100,9,2,0
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_A18,SI_S04,27,4,28,30,3,1
Connection: SI_A20,SI_A21,41,17,3,17,0,2
Connection: SI_A20,SI_B01,17,11,17,7,3,1
Connection: SI_A23,SI_C08,27,30,141,36,3,0
Connection: SI_A27,SI_D01,18,33,49,49,1,3
Connection: SI_A27,SI_S05,9,8,31,9,2,0
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_A28,SI_C05,6,27,29,24,1,3
Connection: SI_A28,SI_D06,41,27,129,13,1,3
Connection: SI_B01,SI_C03,8,10,138,6,3,3
Connection: SI_B01,SI_D03,101,10,24,6,3,3
Connection: SI_B02,SI_B04,80,15,39,19,2,3
Connection: SI_B02,SI_D01,5,21,17,67,3,3
Connection: SI_B03,SI_B12,29,72,31,8,2,3
Connection: SI_B03,SI_D06,49,14,3,11,0,2
Connection: SI_B03,SI_C09,7,11,14,104,3,2
Connection: SI_B09,SI_C06,93,10,43,14,2,0
Connection: SI_B09,SI_B10,11,5,8,15,3,2
Connection: SI_B10,SI_D01,36,75,45,18,1,0
Connection: SI_B10,SI_C04,5,49,139,5,2,0
Connection: SI_B11,SI_D05,35,50,23,60,1,3
Connection: SI_B11,SI_D06,11,7,77,33,3,1
Connection: SI_B13,SI_D07,9,69,102,70,2,0
Connection: SI_C01,SI_C02,29,9,150,7,3,3
Connection: SI_C01,SI_C04,137,9,15,5,3,2
Connection: SI_C02,SI_C07,68,7,12,18,3,3
Connection: SI_C03,SI_D01,15,5,86,52,2,0
Connection: SI_C04,SI_D01,139,36,15,22,0,3
Connection: SI_C08,SI_D05,15,36,87,7,2,3
Connection: SI_C08,SI_D06,4,15,197,12,2,0
Connection: SI_C09,SI_D07,50,71,9,71,1,1
Connection: SI_D05,SI_D06,9,12,126,13,2,3
